time,development,timeCode,countryName,countryCode,agriculturePercentGDP,electricPowerConsumption,gdpGrowth,gdpPerCapita,gdpPerCapitaPPP,industryPercentGDP,manufacturingPercentGDP,individualsUsingInternetPercent,accessToElectricityPercent,governmentExpenditureEducationPercent,mobileCellularSubscriptionsPerHundred,birthLifeExpectancyMale,birthLifeExpectancyFemale,consumerPriceIndex
1990,1,YR1990,Colombia,COL,16.23529856,841.8640935,6.042038478,4319.93045,7533.518385,36.72944527,19.94892556,0,89.9,..,0,64.405,72.384,9.399331703
1990,1,YR1990,Comoros,COM,41.42110057,..,5.091392685,871.2490295,1599.95155,8.264535652,4.208655287,0,15.2995491,..,0,55.118,58.266,..
1990,1,YR1990,"Congo, Dem. Rep.",COD,30.14991592,130.8697049,-6.568310695,702.0829465,1386.830748,28.22795641,11.00623774,0,0.01,..,0,47.592,50.464,4.13E-10
1990,1,YR1990,"Congo, Rep.",COG,12.86089239,168.0013211,1.000003567,2713.101285,5140.416146,40.64304462,8.346456693,0,0.01,..,0,54.445,57.494,35.96021939
1990,1,YR1990,Costa Rica,CRI,11.09030379,1080.105104,3.904917795,4911.554334,7787.161762,27.01432011,20.44575841,0,97.47466278,..,0,73.106,78.339,8.554415974
1990,1,YR1990,Cote d'Ivoire,CIV,32.49842767,155.9372645,-1.095908411,1448.033637,3193.758531,26.26721076,17.45050761,0,36.65949249,..,0,50.564,54.752,41.8707258
1990,3,YR1990,Croatia,HRV,..,2964.644351,..,..,..,..,..,0,100,..,0.005024734,68.59,75.93,0.108485968
1990,1,YR1990,Cuba,CUB,13.04054905,1214.033421,-2.948564945,4225.943975,..,17.35760444,7.135125209,0,92.52192688,..,0,72.796,76.584,..
1990,1,YR1990,Curacao,CUW,..,4662.998624,..,..,..,..,..,..,100,..,..,..,..,..
1990,3,YR1990,Cyprus,CYP,6.859176782,2430.166942,7.403999506,21156.95134,23300.67477,25.92636036,14.15659113,0,100,3.339240074,0.411682066,74.512,78.616,53.17824005
1990,3,YR1990,Czech Republic,CZE,..,5600.407612,..,13988.6576,20023.13599,..,..,0,100,..,0,67.54,75.42,..
1990,3,YR1990,Denmark,DNK,3.287332112,5944.828367,1.475244726,44569.01112,33785.65014,22.63285789,14.86528659,0.097277268,100,..,2.883032183,72.02,77.73,66.11251585
1990,1,YR1990,Djibouti,DJI,..,..,..,..,..,..,..,0,59.60907745,..,0,55.13,58.273,..
1990,1,YR1990,Dominica,DMA,19.79014987,..,5.254898279,4561.639799,6730.022762,15.11949028,6.682642795,0,66.03043365,..,0,..,..,65.23040767
1990,1,YR1990,Dominican Republic,DOM,13.42282543,388.5213179,-5.454312395,2683.256345,5477.061465,31.41139882,17.95913812,0,79.59869385,..,0.044072321,65.487,70.537,11.80110682
1990,,YR1990,East Asia & Pacific,EAS,..,1095.214568,5.104187208,4194.665808,4964.741818,..,..,0.00725637,84.11540942,..,0.088526087,67.15037053,71.23475271,..
1990,,YR1990,East Asia & Pacific (excluding high income),EAP,25.23062798,460.1694235,5.406076809,946.4267149,2226.475036,40.2156853,..,0,82.59916773,..,0.011344835,66.31220222,70.03140347,..
1990,1,YR1990,Ecuador,ECU,20.52100539,481.3032102,3.679914053,3720.936633,7472.025128,28.60787634,20.80899828,0,88.94174957,..,0,66.59,71.521,1.327600955
1990,1,YR1990,"Egypt, Arab Rep.",EGY,18.44749794,662.7335315,5.70174926,1560.083351,5909.161575,27.30978564,16.91532013,0,93.95646667,..,0.006967158,62.233,66.982,19.14718713
1990,1,YR1990,El Salvador,SLV,16.01367717,353.3788114,4.831560385,2158.445072,4544.585408,23.30754754,18.71665132,0,72.46346283,..,0,59.268,68.944,32.25821606
1990,1,YR1990,Equatorial Guinea,GNQ,..,..,-1.758564084,507.8957794,999.5045346,..,..,0,58.59144211,..,0,46.666,49.855,29.72956081
1990,1,YR1990,Eritrea,ERI,..,..,..,..,..,..,..,0,17.8409462,..,0,47.959,51.286,..
1990,3,YR1990,Estonia,EST,..,5755.894502,..,..,..,..,..,0,100,..,0,64.5,74.7,..
1990,,YR1990,Eswatini,SWZ,8.871486638,..,21.01800054,2720.029525,5378.167768,36.82849311,31.42155327,0,0.01,5.484570026,0,58.075,62.483,20.45718347
1990,1,YR1990,Ethiopia,ETH,49.49124803,22.50111029,2.726451783,207.2197814,651.9530906,9.303866849,4.625179632,0,0.01,..,0,45.622,48.651,19.89631584
1990,,YR1990,Euro area,EMU,..,5299.199462,3.57862937,28818.88917,28115.88283,..,..,0.072459123,100,4.543669939,0.439475655,72.5005875,79.49549299,..
1990,,YR1990,Europe & Central Asia,ECS,..,5050.5585,2.322463868,17568.03902,20561.8507,..,..,0.048049244,98.89779005,..,0.415183051,68.28717329,76.09208619,..
1990,,YR1990,Europe & Central Asia (excluding high income),ECA,17.82117746,4527.682245,-1.407043384,6306.030205,13652.2761,40.76288817,..,0,97.58969947,..,0.008456747,63.90703588,72.81664659,..
1990,,YR1990,European Union,EUU,..,5157.48458,2.973494621,24750.33778,24875.03787,..,..,0.069155331,100,..,0.647739006,71.45968274,78.45109178,..
1990,,YR1990,Faroe Islands,FRO,..,..,..,..,..,..,..,0,100,..,0,72.7,79.7,..
1990,1,YR1990,Fiji,FJI,17.95793434,..,5.800002719,2926.351621,5891.290081,21.08781313,11.9195101,0,60.46178818,..,0,63.605,67.635,49.8888663
1990,3,YR1990,Finland,FIN,5.393912757,12485.68365,0.675783494,33514.92303,28905.57032,29.20338424,19.49895616,0.40108767,100,5.335909843,5.161339908,70.94,78.88,71.55233866
1990,3,YR1990,France,FRA,3.136835031,5940.750613,2.914009698,32543.94242,29514.85381,24.45645468,16.20726575,0.052777862,100,4.492280006,0.497183723,72.6,80.8,71.18812578
1990,1,YR1990,French Polynesia,PYF,1.193186346,..,2.200000128,..,..,..,..,0,100,..,0,66.673,71.092,..
1990,1,YR1990,Gabon,GAB,7.324447735,916.8126426,5.192237277,11117.2374,19500.92869,42.99642108,5.584351475,0,64.61288452,..,0,59.656,62.71,65.02618683
1990,1,YR1990,"Gambia, The",GMB,24.34255391,..,3.558879369,515.3304784,1506.404687,11.00948689,5.529760458,0,16.23235321,2.825839996,0,51.015,53.538,33.62917123
1990,2,YR1990,Georgia,GEO,30,3039.150354,-14.7882259,3524.778752,8006.504234,31.33333333,..,0,97.33401489,..,0,66.264,73.922,..
1990,3,YR1990,Germany,DEU,..,6639.731691,5.255006086,32337.10102,31287.06981,..,..,0.125892223,100,..,0.344558605,72.058,78.556,67.47511126
1990,1,YR1990,Ghana,GHA,44.84761747,326.764769,3.328817883,823.5918596,1919.601511,16.77282953,9.762852908,0,23.53626251,..,0,55.677,57.88,2.1611232
1990,,YR1990,Gibraltar,GIB,..,2537.374846,..,..,..,..,..,0,100,..,0,..,..,..
1990,3,YR1990,Greece,GRC,..,3221.40532,0,19383.93465,20686.13676,..,..,0,100,2.046080112,0,74.5,79.5,29.80381293
1990,,YR1990,Greenland,GRL,..,..,-11.71953298,27295.95234,..,..,..,0,100,..,0,61.4,68.92,..
1990,1,YR1990,Grenada,GRD,8.884799392,..,4.012610243,4771.77604,7241.559208,13.30158868,4.260956039,0,81.56082916,..,0.155790742,66.276,70.784,59.01999415
1990,1,YR1990,Guam,GUM,..,..,..,..,..,..,..,0,..,..,0,69.788,74.413,..
1990,1,YR1990,Guatemala,GTM,25.87915982,200.4574142,3.10256318,2146.594857,5100.779193,19.78775975,15.05099129,0,60.18920135,..,0.003162845,59.495,65.171,18.26022527
1990,1,YR1990,Guinea,GIN,24.68894706,..,4.324062754,581.2767085,1411.948921,34.60943664,4.729707617,0,6.429067135,..,0,48.993,50.891,..
